tx,timestamp,block,output_amount0,output_amount1,output_liquidity,params
0x5ee21ef4cd1c1c72532d3981a0014a9621aecbb123170701920d989bead97aa0,2023-04-05 05:47:27.000 UTC,2.707602e+07,79290318151432555036,376392411628775858789,46435419876789650818571,"{""tokenId"":8325,""amount0Desired"":79290318151432555036,""amount1Desired"":376392411628775858789,""amount0Min"":67408148730936718228,""amount1Min"":331047760522361498437,""deadline"":1680674835}"
0x65c5ace583409c4a01d847868282027183d8c689efb336140e7c21c03849c479,2023-04-05 05:49:54.000 UTC,2.7076069e+07,655669897507464255183,4939889330414918988216,1525214839191302134664288,"{""tokenId"":8294,""amount0Desired"":655669897507464255183,""amount1Desired"":4939889330414918988216,""amount0Min"":265388918676821157884,""amount1Min"":3450501812676015470770,""deadline"":1680674973}"
0x7dfe33f58eecf4fe1b3601e3c3637f8c86dc52e0f5b6054ce33f8fb5735b12ba,2023-04-05 05:53:57.000 UTC,2.707615e+07,5201482470680742663,18029114388931083252,558893894418543926117,"{""tokenId"":8299,""amount0Desired"":5201482470680742663,""amount1Desired"":18029114388931083252,""amount0Min"":4488553241039820581,""amount1Min"":15297550694403732370,""deadline"":1680675219}"
0x31f098f198f90872d7086670fd9d9fbed01572214fbb5e761ea5f275490597f5,2023-04-05 06:00:42.000 UTC,2.7076282e+07,859245469445302541,27002426046316410060,288282241410158279765,"{""tokenId"":6933,""amount0Desired"":859245469445302541,""amount1Desired"":27002426046316410060,""amount0Min"":491511515534228786,""amount1Min"":25593458236619409910,""deadline"":1680675615}"
0xfae39a0da823a3f076f419d9e14b90133eed025d870d30685525313b5ca56da1,2023-04-05 06:01:51.000 UTC,2.7076305e+07,345,0,19438,"{""tokenId"":8306,""amount0Desired"":345,""amount1Desired"":0,""amount0Min"":0,""amount1Min"":0,""deadline"":1680675699}"
0x851c233549be1059a0674d2003565b2f63b2b1a82bbb3dfc810020af4f41c070,2023-04-05 06:05:00.000 UTC,2.7076368e+07,2168039295688575309037,60432671627636429320,9501833029826229847896,"{""tokenId"":8201,""amount0Desired"":2168039295688575309037,""amount1Desired"":60432671627636429320,""amount0Min"":1952782739689832318281,""amount1Min"":57817757545771221982,""deadline"":1680675879}"
0x16a87916f6846ffdb1218d2df06821ab6a6f22c147aaca321649d3969e3cf03c,2023-04-05 06:07:33.000 UTC,2.7076418e+07,4612361667587902755,17592378059777927717,9007908203608324730,"{""tokenId"":8369,""amount0Desired"":4612361667587902755,""amount1Desired"":17592378059777927717,""amount0Min"":4600873824923903475,""amount1Min"":17548342000575582168,""deadline"":1680676037}"
0x8462b1ae218167b11984355affaee3bfd31d0190854a5408ecae56daeb4be831,2023-04-05 06:08:25.000 UTC,2.7076434e+07,250273575157381173757,6975453985937065936,1096787128355858716422,"{""tokenId"":8201,""amount0Desired"":250273575157381173757,""amount1Desired"":6975453985937065936,""amount0Min"":225426677951869368719,""amount1Min"":6673617629973626911,""deadline"":1680676089}"
0xd6b9ed1efe5d9d67d57f320a441c470646c21404e055ef9c6a0907b405a25c2d,2023-04-05 06:11:33.000 UTC,2.7076488e+07,87706021184325541670,940551887884150727,35128196618196392440,"{""tokenId"":817,""amount0Desired"":87706021184325541670,""amount1Desired"":940551887884150727,""amount0Min"":86909930214352471670,""amount1Min"":930888085636401351,""deadline"":1680676264}"
0x91c81847a3a9d88934f5c16b3a1e9aeb28a8e896e9329e219f0311d9abab30d6,2023-04-05 06:15:36.000 UTC,2.7076562e+07,2505457814503504910791,6800000000000000000,104805470585823003975489,"{""tokenId"":8353,""amount0Desired"":2543360062472681571824,""amount1Desired"":6800000000000000000,""amount0Min"":1605559970538095408738,""amount1Min"":3825391953794055774,""deadline"":1680676527}"
0x6908a2e1fc8752b611415a141ea34deb406b65acde65ef5e1fe3e811b7cf5b93,2023-04-05 06:29:11.000 UTC,2.7076831e+07,25501015044616432701,39656492154780516515,384964994972323967973,"{""tokenId"":8411,""amount0Desired"":25501015044616432701,""amount1Desired"":39656492154780516515,""amount0Min"":25402278519003353205,""amount1Min"":39281443431139783072,""deadline"":1680677336}"
0x0b499fbe9d5ba079f363a8c3f672667f58d4cf19a6e73f9678c3c52aa5a7d3bf,2023-04-05 06:33:02.000 UTC,2.7076908e+07,797521340369304237988,8945786197583425003941,191034842058571803315303,"{""tokenId"":4081,""amount0Desired"":797521340369304237988,""amount1Desired"":8945786197583425003941,""amount0Min"":553268357562935380353,""amount1Min"":8014283078290333226337,""deadline"":1680677537}"
0x6d1da00add45d0bbd5df05ea8168055f5210cc608db6e2ba484cde88a7af6a44,2023-04-05 06:34:11.000 UTC,2.7076931e+07,3937848105707220966,4845941014385943701,1357747496499175832900,"{""tokenId"":8325,""amount0Desired"":3937848105707220966,""amount1Desired"":4845941014385943701,""amount0Min"":2201861767591351479,""amount1Min"":0,""deadline"":1680677639}"
0x2e9acb04d3d42adf689b71b4c8d02ae7d6a04518f83eb0b35479aefc8e3a3b28,2023-04-05 06:38:55.000 UTC,2.7077021e+07,65977135141168406971,500000000000000000001,9738287225322141987957,"{""tokenId"":8449,""amount0Desired"":65977135141168406971,""amount1Desired"":500000000000000000001,""amount0Min"":41164442757918879289,""amount1Min"":404922285600218994227,""deadline"":1680677901}"
0x3ed459840c008fc6020322c17c07392fca2f8ea3b99999ee924d5469917cafbc,2023-04-05 06:45:43.000 UTC,2.7077151e+07,18591870950181375860,130000000000000000000,2602718985275810395824,"{""tokenId"":8449,""amount0Desired"":18591870950181375860,""amount1Desired"":130000000000000000000,""amount0Min"":11955510558001854980,""amount1Min"":104607114027917672699,""deadline"":1680678313}"
0xc6f5e0654a3dd6db8f49dc2ba7500913ddc5637481d68151405f8b70da40d177,2023-04-05 07:00:01.000 UTC,2.7077437e+07,9674839622952372648,335940720227031671673,3959114447855603031373,"{""tokenId"":7714,""amount0Desired"":9674839622952372648,""amount1Desired"":335940720227031671673,""amount0Min"":9654056701499710126,""amount1Min"":334055301518487496642,""deadline"":1680679183}"
0x7740baacd0dbf9617e7d7e2a6c69c28f9c8e298291297d237779431d2bd5bdaf,2023-04-05 07:01:04.000 UTC,2.7077458e+07,2994229630504334455,107548332822349077485,1236966752054056416624,"{""tokenId"":7714,""amount0Desired"":2994229630504334455,""amount1Desired"":107548332822349077485,""amount0Min"":2987737740524434091,""amount1Min"":106959132198688987533,""deadline"":1680679252}"
0xd2a3b4e35cd401af3c93f7c2dd8c402e3a824300feee0b9749bc9f255da42be4,2023-04-05 07:02:55.000 UTC,2.7077495e+07,906076842332040998,33274552554669278743,376694892857561815440,"{""tokenId"":7714,""amount0Desired"":906076842332040998,""amount1Desired"":33274552554669278743,""amount0Min"":896196332613619638,""amount1Min"":32377182431981857475,""deadline"":1680679366}"
0xebece4447239951b1205503568fd9ce460a7b83f9db89874bd892fdc13f5f782,2023-04-05 07:05:43.000 UTC,2.7077551e+07,93176956500980467,95004451570847552,18866161816182691603,"{""tokenId"":8560,""amount0Desired"":93176956500986348,""amount1Desired"":95004451570847552,""amount0Min"":0,""amount1Min"":0,""deadline"":1680678343}"
0x1ae3d37f604c7e43c9fd5e0639e5fd063da1694c90858a8b51d54b530db23faa,2023-04-05 07:06:49.000 UTC,2.7077573e+07,222090378632159342,226446273663110336,44968124903506680953,"{""tokenId"":8560,""amount0Desired"":222090378632184101,""amount1Desired"":226446273663110336,""amount0Min"":0,""amount1Min"":0,""deadline"":1680678409}"
