tx,timestamp,block,to,tokenId,output_reward
0x78227f2a187216f899ffbce4e287556e991f970b4da35dd0a2fc6d74bcd4dac7,2023-05-02 08:21:44.000 UTC,2.7853114e+07,0x743fc05850fac2ce03251704cda96f5e09146cac,59839,0
0x413beddbacd16ead0b7432e6019fe6fa43e517893f86ea16f06ed63a61a7b595,2023-05-02 08:21:56.000 UTC,2.7853118e+07,0x6a1e31a81a21921bc8e87616188da385a112d505,56672,132701273664162905
0x413beddbacd16ead0b7432e6019fe6fa43e517893f86ea16f06ed63a61a7b595,2023-05-02 08:21:56.000 UTC,2.7853118e+07,0x6a1e31a81a21921bc8e87616188da385a112d505,56657,923863901618471817
0x53f32172d3759c7f40bdfa1134ea01afe6d45ac649e3b5873be3d5031dd3fa48,2023-05-02 08:28:20.000 UTC,2.7853246e+07,0x743fc05850fac2ce03251704cda96f5e09146cac,59839,0
0xcacde156212533af46fceec79648ada709a0095b75bf3f9dbafc7a0ad3046909,2023-05-02 08:37:17.000 UTC,2.7853425e+07,0x743fc05850fac2ce03251704cda96f5e09146cac,59839,0
0x60e32469bd1f8815781dee57088fc4d221c1286bd63f7d05a0db44217637b07a,2023-05-02 08:57:05.000 UTC,2.7853821e+07,0xfa6ec70941f913715f4d0884d4f86dc1b37698f1,26172,496142237172087226
0x60e32469bd1f8815781dee57088fc4d221c1286bd63f7d05a0db44217637b07a,2023-05-02 08:57:05.000 UTC,2.7853821e+07,0xfa6ec70941f913715f4d0884d4f86dc1b37698f1,26107,4968353360560575224
0x60e32469bd1f8815781dee57088fc4d221c1286bd63f7d05a0db44217637b07a,2023-05-02 08:57:05.000 UTC,2.7853821e+07,0xfa6ec70941f913715f4d0884d4f86dc1b37698f1,9034,7742294622876434
0x36881b5af00da4ee15088033a78fe25eb4b98bd87c88c0f99f2309c785a82c5f,2023-05-02 08:57:29.000 UTC,2.7853829e+07,0x27e6a60146c5341d2e5577b219a2961f2d180579,65381,181660717167465992
0x44744db680122a9139a19178048ead335ee8a9e1b7c581957c9bdd6f00b12a8c,2023-05-02 10:09:27.000 UTC,2.7855268e+07,0xb05c44ac43ec6c7dd4372350248f20c8c7bfe75e,64410,11612157838961840
0x44744db680122a9139a19178048ead335ee8a9e1b7c581957c9bdd6f00b12a8c,2023-05-02 10:09:27.000 UTC,2.7855268e+07,0xb05c44ac43ec6c7dd4372350248f20c8c7bfe75e,64409,559640854088212967
0xc74569b72fef0738007cf010b8c662c5d0cf20679f82998ffebe5e6dc3389ae8,2023-05-02 08:40:47.000 UTC,2.7853495e+07,0xbc1db090e59285a02c15b8552805648a56c5fa87,54429,
0xd0fa03d7288e2ff8f7e0f95062fd9178c6f0e0990dc70ff7132562575366941f,2023-05-02 08:14:08.000 UTC,2.7852962e+07,0x743fc05850fac2ce03251704cda96f5e09146cac,59839,0
0x0ef0d34e10c3737f9130902e2528ea2dfc7f0964a4a8dc7d88daf00021da1a30,2023-05-02 08:22:56.000 UTC,2.7853138e+07,0xe37dd0a73044521644e7e1a92248470dd3e070a9,61881,10010030064807677175
0x2dfe557b2e9657ec0e2454ec5da7f3ede90ed585440f0ea0ff0f554bbc6aa8ed,2023-05-02 08:23:47.000 UTC,2.7853155e+07,0x743fc05850fac2ce03251704cda96f5e09146cac,59839,0
0x284eabdb5b9d2b5d66f383ad801ad8efabe7f5a2543cc2db0aaac67d5c556547,2023-05-02 08:33:56.000 UTC,2.7853358e+07,0xaf418298f1eba1a4c71681f999ee1ba694f40912,49701,5585737723183886077
0x1a8f2849775c2f8ad7e873e376c34dca0af8d04799920093d263ebab456f03ad,2023-05-02 09:25:47.000 UTC,2.7854395e+07,0x4a87c130933adc493bf575a1b1b3f83d01c32890,65892,2833981818736174579
0x1a8f2849775c2f8ad7e873e376c34dca0af8d04799920093d263ebab456f03ad,2023-05-02 09:25:47.000 UTC,2.7854395e+07,0x4a87c130933adc493bf575a1b1b3f83d01c32890,65884,3419729314948211561
0x49094ed2e8eaf727b3e323a40dd234952fa03c51a06934b1038137293d81aec9,2023-05-02 09:19:11.000 UTC,2.7854263e+07,0xfbd1c6f233ef2ea25808717d472e659b71737100,65031,9219493390666454895
0x95f4ee7e94586226047b967775e3a41636c4494a138eadca3c868f10477f73cd,2023-05-02 09:12:26.000 UTC,2.7854128e+07,0xcb438bbe7761376ab317004f555613e52a77bad9,65679,2852862140995362306
